Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,3101300641.87512,2968369991.46729,12561016091.4673,13444301139.1384,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,15890065019.7634,16178162030.0694,17933606353.1775,19737615114.3661
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,1132101252.51817,870486065.883137,2333341374.89657,2451606684.31708,2705783272.07443,3104003611.42957,2639321196.46528,2712324087.2789,2660123624.27729,2581268125.78917,2780510624.64184,2902029385.82592
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,306891107.262039,539227277.626411,1741809808.96442,1850470042.43281,1859898513.26858,1596800287.16405,1663008687.09505,1769787215.42141,1966501117.61028,1981845740.70615,1703698676.69742,1936174043.45293
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,..,3654031716.26881,14054443213.4639,15227991395.2201,16702610842.4025,18049954289.4229,20016747754.0192,22177200511.5811,24571753583.4922,27089389786.979,25872798012.1938,26961061119.7957
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,12314482085.0878,10566578952.7857,30155064574.0734,33728622819.0912,36386546917.6861,32210232911.6626,33814337900.2831,36098550141.5897,39973839064.6084,39670977332.7348,40804449726.0184,45238613479.8308
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,593929550908.468,744773415931.587,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31,1645423407568.36,1990761609665.23
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,..,..,4291158967.90881,4405954696.16336,4563017851.62436,4708336756.08849,4909498942.67103,5166467286.75345,5530377593.29756,5943589095.55075,5608989195.5292,..
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,1440711395.67069,916777282.651168,2510126699.05356,1691544192.38242,1894813504.52945,1695825708.45604,1825018190.85071,2072349974.15272,2220978978.17342,2221301400.72468,2326720920.59223,2516498299.01212
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,1738605558.08241,1388506726.62093,12367363677.6199,12953535495.8781,13940768065.6063,10950392219.9104,10097778353.7651,10000395242.1457,11239167048.4916,11314951342.7807,10715396135.4168,11779980801.7843
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,..,6439403014.0037,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,33113887818.957,78249883995.6255,267175872540.066,277239461340.404,259405202008.001,242496649874.236,249298719723.108,276364933679.626,295402652037.155,278584733103.01,252727193710.018,317058508651.76
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,360857912565.966,1211346869600.41,8532229986993.65,9570406235659.64,10475682920597.7,11061553079871.5,11233276536744.7,12310409370894.2,13894817549380.3,14279937500608,14687673892882,17734062645371.4
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,47844090709.9908,99886577330.7271,370921320483.841,382116126448.554,381112119657.445,293481748240.778,282825009887.458,311883730690.129,334198214706.209,323109543324.321,270299982887.01,314322453228.295
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,429622147.743446,351136568.441921,1015843368.79008,1116224161.07781,1149587651.69395,966029542.038859,1012835518.26037,1077439662.5798,1188797574.94753,1195019559.09381,1223876064.52345,1327964249.32649
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,9349764580.41173,19088046305.7971,29306235826.3885,32679745297.6453,35909040265.9328,37917704900.0794,37134799974.5225,38019265625.8845,47568210068.4862,51775830725.8263,48716960860.0664,53958573693.0513
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,2798746050.58236,3227927697.43665,17692911280.5627,17958720704.4596,17912907682.0663,11890259176.6829,10219341017.1383,11094823676.5914,13670038019.8594,12750338736.1661,10483151093.6873,12523961677.2966
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,5711687786.75989,15013629658.6521,47231651862.8399,50949672205.9168,52016408950.8936,56441917652.9812,58847016044.7363,60516043590.1832,62420165099.7231,64417670082.6127,62158002233.0279,64282438666.739
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,10795850106.9547,16577533355.4395,36302305578.2487,42760237561.4396,48843008580.3288,45814637971.4745,47964234560.0514,51588158717.5348,58011466450.8643,58539424929.7248,61348579465.1017,69764827467.4423
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,..,21839780971.0268,57192346923.335,58889082315.336,58330289756.6914,50163192883.1515,52295158344.2544,56214427431.2,62247874948.8225,62246206340.5469,57203783203.0259,67837788543.5852
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,28645436569.1489,30565400000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,100050000000,103428000000,107352000000,..
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,..,..,3024525139.6648,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388817.27231,2995185487.30261,2496174735.64702,..
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,5591130217.66965,9985844486.33365,24978513426.6992,23900872625.8467,23156850006.6427,19842404304.8929,20953442550.3653,22870833709.8961,25522671232.8767,25758357774.5438,24692095945.1742,27719337670.0177
GDP (current US$),NY.GDP.MKTP.CD,Czechia,CZE,40728950704.6176,61828166496.0941,208857719320.649,211685616592.931,209358834156.329,188033050459.881,196272068576.338,218628940951.675,248950103352.137,252498032247.163,245339322066.759,282340849856.614
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,138247285815.855,164158739097.623,327148943812.137,343584391647.927,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356841216410.068,347561349210.979,356084867685.639,397104343478.301
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,452328087.282876,551230861.856505,1353632941.5207,2042817162.85639,2214679081.25658,2424391785.43897,2604955228.70117,2762581334.22612,2913466732.12507,3088853638.56832,3181071153.6622,3371102123.51343
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,201429629.62963,333470370.37037,485996296.296296,498296296.296296,520207407.407407,540737037.037037,576229629.62963,521551851.851852,554770370.37037,611537037.037037,504214814.814815,545618518.518518
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,7073675544.79021,24305717541.6371,60681537195.7996,62682163837.347,67179914026.9623,71164825256.6849,75704720189.5607,79997975621.8654,85555378042.8196,88941299733.5018,78844702329.0785,94243453937.4462
